dataset_name,column_name,ordinal_position,classification,masking_policy,description
curated.risk_features,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
curated.risk_features,event_ts,4,INTERNAL,,Governed event ts field
curated.risk_features,ingest_ts,5,INTERNAL,,Governed ingest ts field
curated.risk_features,customer_id,6,CONFIDENTIAL,,Governed customer id field
curated.risk_features,risk_score,7,CONFIDENTIAL,,Governed risk score field
curated.risk_features,risk_reason,8,CONFIDENTIAL,,Governed risk reason field
reporting.customer_service_view,record_id,1,INTERNAL,,Governed record id field
reporting.customer_service_view,source_system,2,INTERNAL,,Governed source system field
reporting.customer_service_view,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
reporting.customer_service_view,event_ts,4,INTERNAL,,Governed event ts field
reporting.customer_service_view,ingest_ts,5,INTERNAL,,Governed ingest ts field
reporting.customer_service_view,customer_id,6,CONFIDENTIAL,,Governed customer id field
reporting.customer_service_view,phone_number,7,RESTRICTED,,Governed phone number field
reporting.customer_service_view,account_number,8,RESTRICTED,MASK_RESTRICTED,Governed account number field
reporting.risk_portfolio,record_id,1,INTERNAL,,Governed record id field
reporting.risk_portfolio,source_system,2,INTERNAL,,Governed source system field
reporting.risk_portfolio,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
reporting.risk_portfolio,event_ts,4,INTERNAL,,Governed event ts field
reporting.risk_portfolio,ingest_ts,5,INTERNAL,,Governed ingest ts field
reporting.risk_portfolio,customer_id,6,CONFIDENTIAL,,Governed customer id field
reporting.risk_portfolio,aggregate_exposure,7,CONFIDENTIAL,,Governed aggregate exposure field
reporting.risk_portfolio,risk_band,8,INTERNAL,,Governed risk band field
reporting.executive_kpis,record_id,1,INTERNAL,,Governed record id field
reporting.executive_kpis,source_system,2,INTERNAL,,Governed source system field
reporting.executive_kpis,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
reporting.executive_kpis,event_ts,4,INTERNAL,,Governed event ts field
reporting.executive_kpis,ingest_ts,5,INTERNAL,,Governed ingest ts field
reporting.executive_kpis,business_unit,6,INTERNAL,,Governed business unit field
reporting.executive_kpis,customer_count,7,INTERNAL,,Governed customer count field
reporting.executive_kpis,total_exposure,8,CONFIDENTIAL,,Governed total exposure field
sandbox.campaign_analysis,record_id,1,INTERNAL,,Governed record id field
sandbox.campaign_analysis,source_system,2,INTERNAL,,Governed source system field
sandbox.campaign_analysis,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
sandbox.campaign_analysis,event_ts,4,INTERNAL,,Governed event ts field
sandbox.campaign_analysis,ingest_ts,5,INTERNAL,,Governed ingest ts field
sandbox.campaign_analysis,customer_segment,6,INTERNAL,,Governed customer segment field
sandbox.campaign_analysis,response_flag,7,INTERNAL,,Governed response flag field
sandbox.campaign_analysis,channel,8,PUBLIC,,Governed channel field
sandbox.unowned_customer_copy,record_id,1,INTERNAL,,Governed record id field
sandbox.unowned_customer_copy,source_system,2,INTERNAL,,Governed source system field
sandbox.unowned_customer_copy,legal_entity,3,CONFIDENTIAL,,Governed legal entity field
sandbox.unowned_customer_copy,event_ts,4,INTERNAL,,Governed event ts field
sandbox.unowned_customer_copy,ingest_ts,5,INTERNAL,,Governed ingest ts field
sandbox.unowned_customer_copy,full_name,6,RESTRICTED,MASK_RESTRICTED,Governed full name field
sandbox.unowned_customer_copy,email_address,7,RESTRICTED,MASK_RESTRICTED,Governed email address field
sandbox.unowned_customer_copy,account_number,8,RESTRICTED,,Governed account number field
